iter	RMSE
180	139520.6347
181	139463.4166
182	139270.0604
183	139088.7765
184	139029.6127
185	138973.3626
186	138854.8425
187	138829.1902
188	138681.4867
189	138564.1542
190	138419.6271
191	138259.8184
192	138124.7698
193	138059.9255
194	137938.296
195	137768.0803
196	137738.2949
197	137625.5381
198	137508.597
199	137430.204
200	137324.6962
201	137227.9739
202	137110.2364
203	136954.3578
204	136909.4805
205	136882.1134
206	136850.5
207	136672.937
208	136556.3153
209	136545.0601
210	136421.7461
211	136318.1854
212	136196.1913
213	136124.5732
214	136106.2283
215	135943.6504
216	135929.9223
217	135880.8474
218	135843.2657
219	135780.3537
220	135740.3619
221	135643.7375
222	135613.8514
223	135575.2523
224	135482.1062
225	135416.7262
226	135223.8893
227	135197.5864
228	135087.4449
229	135065.597
230	134944.9639
231	134807.5946
232	134628.9645
233	134489.4014
234	134440.0916
235	134334.5265
236	134256.9557
237	134146.9094
238	134060.6494
239	133948.189
240	133874.0288
241	133818.034
242	133722.0223
243	133597.6086
244	133465.1865
245	133377.8749
246	133315.2631
247	133195.2163
248	133155.52
249	133063.3134
250	132982.8521
251	132954.3358
252	132873.204
253	132658.9727
254	132571.1853
255	132489.8928
256	132466.6844
257	132292.4624
258	132176.3244
259	132049.096
260	131985.4785
261	131868.1694
262	131804.4349
263	131762.071
264	131675.2125
265	131539.3112
266	131404.7927
267	131326.7328
268	131186.3647
269	131125.4189
270	131103.5577
271	131025.0074
272	130940.856
273	130747.3677
274	130658.0161
275	130631.8824
276	130622.0506
277	130507.5275
278	130348.2409
279	130224.2082
280	130053.5441
281	129979.8389
282	129882.9331
283	129828.2538
284	129659.2211
285	129606.5082
286	129507.1439
287	129344.5301
288	129262.0336
289	129209.9336
290	129151.6173
291	129004.3548
292	128893.0866
293	128779.4494
294	128729.3685
295	128673.3969
296	128582.1061
297	128408.6937
298	128382.7215
299	128370.7387
300	128262.2429
301	128206.0672
302	128130.8664
303	128123.3303
304	128080.1378
305	127996.2627
306	127892.4794
307	127726.8613
308	127700.9686
309	127587.0316
310	127514.6778
311	127341.3072
312	127319.8716
313	127172.9051
314	127024.1083
315	126919.0233
316	126794.9725
317	126737.4272
318	126680.3682
319	126509.3336
320	126413.3193
321	126303.1419
322	126267.0793
323	126215.1131
324	126117.4338
325	126029.5427
326	126003.8659
327	125891.2525
328	125731.752
329	125609.4145
330	125492.6928
331	125402.4039
332	125317.2292
333	125224.0163
334	125157.9434
335	125095.5647
336	125071.0616
337	125013.1689
338	124972.7058
339	124925.0152
340	124900.2178
341	124734.4081
342	124615.4014
343	124504.5679
344	124429.1687
345	124380.9134
346	124237.0892
347	124142.1833
348	124040.4104
349	123891.9584
350	123831.2962
351	123727.3698
352	123626.9754
353	123537.6023
354	123516.1129
355	123379.2573
356	123334.0606
357	123241.7159
358	123205.3147
359	123058.7217
360	122968.9002
361	122880.4207
362	122758.2796
363	122598.531
364	122535.6004
365	122496.9989
366	122364.6824
367	122275.9158
368	122167.4047
369	122068.2891
370	121930.5383
371	121861.8453
372	121854.0662
373	121734.3957
374	121661.7872
375	121641.2624
376	121529.8293
377	121435.6269
378	121406.2575
379	121356.8122
380	121346.1789
381	121260.7993
382	121220.7825
383	121093.0569
384	120990.2085
385	120948.5191
386	120859.9326
387	120788.6438
388	120688.3627
389	120544.5887
390	120362.7553
391	120263.1073
392	120224.1057
393	120189.9191
394	120005.4451
395	119861.6559
396	119717.4526
397	119659.9225
398	119591.8327
399	119508.549
400	119496.3687
401	119431.3092
402	119327.1802
403	119208.8461
404	119131.6234
405	119068.3727
406	118915.5071
407	118788.3095
408	118693.8676
409	118566.2584
410	118434.0655
411	118335.6646
412	118308.6981
413	118189.1428
414	118099.6245
415	118056.526
416	117852.1825
417	117773.7382
418	117646.0553
419	117520.4853
420	117465.9425
421	117367.7198
422	117278.6289
423	117188.8394
424	117068.2631
425	116978.9238
426	116877.15
427	116806.3921
428	116717.9047
429	116686.7887
430	116620.1919
431	116537.7375
432	116435.7578
433	116373.765
434	116269.1866
435	116216.3676
436	116141.0342
437	116047.9235
438	115950.7278
439	115906.9065
440	115843.3476
441	115741.0881
442	115610.1936
443	115538.7083
444	115409.5197
445	115340.9912
446	115268.7646
447	115178.0256
448	115138.7309
449	115052.9378
450	114973.1688
451	114936.8615
452	114866.8523
453	114817.8702
454	114737.4279
455	114677.5736
456	114647.5949
457	114583.8889
458	114459.4162
459	114413.7899
460	114350.7828
461	114317.7186
462	114227.2582
463	114214.1275
464	114128.5882
465	114003.6196
466	113947.0873
467	113789.6774
468	113692.0684
469	113587.1875
470	113519.5606
471	113443.4699
472	113377.0402
473	113252.9034
474	113177.684
475	113104.2268
476	113020.5925
477	112927.2244
478	112876.5933
479	112844.8301
480	112775.2982
481	112687.9536
482	112588.8955
483	112549.6978
484	112517.4153
485	112460.0909
486	112391.713
487	112376.9067
488	112265.6611
489	112178.8634
490	112098.7859
491	112018.6545
492	111985.5572
493	111822.4174
494	111789.5498
495	111716.2975
496	111619.0581
497	111530.1719
498	111426.1954
499	111375.8404
500	111272.9549
501	111177.3131
502	111013.4703
503	110961.107
504	110877.7566
505	110839.7329
506	110773.9067
507	110682.9529
508	110648.4294
509	110617.1716
510	110534.8441
511	110478.0105
512	110367.6179
513	110303.0069
514	110260.8793
515	110158.8653
516	110117.6067
517	110050.1944
518	109939.0969
519	109849.7083
520	109750.2411
521	109664.635
522	109583.5958
523	109539.6028
524	109451.2779
525	109376.4784
526	109232.7123
527	109180.3696
528	109082.0405
529	108966.1887
530	108912.9328
531	108805.3026
532	108715.2408
533	108637.9517
534	108591.8923
535	108522.2863
536	108486.1395
537	108399.1469
538	108323.9401
539	108236.9532
540	108208.583
541	108141.8801
542	108086.1333
543	108060.1684
544	108015.176
545	107925.9629
546	107876.5178
547	107817.7045
548	107688.7825
549	107577.7999
550	107501.3144
551	107428.6041
552	107300.8304
553	107206.4481
554	107072.3179
555	107035.4051
556	106915.1325
557	106815.8839
558	106749.9191
559	106661.1353
560	106618.1969
561	106562.5853
562	106519.6744
563	106420.3358
564	106335.8579
565	106236.6336
566	106183.0797
567	106127.5117
568	106073.48
569	105993.096
570	105916.2502
571	105842.0034
572	105816.4494
573	105768.5937
574	105692.6215
575	105612.9578
576	105510.4227
577	105492.5317
578	105417.0606
579	105292.836
580	105218.0092
581	105119.5935
582	104998.2699
583	104953.9631
584	104862.2219
585	104795.3065
586	104736.0507
587	104655.6829
588	104580.1153
589	104501.4996
590	104458.535
591	104372.72
592	104305.3544
593	104216.3174
594	104168.2171
595	104109.3121
596	104026.3051
597	103967.9013
598	103857.3817
599	103780.7302
600	103746.658
601	103680.3959
602	103578.0974
603	103502.5735
604	103452.8969
605	103393.3938
606	103340.9586
607	103281.8849
608	103225.5894
609	103161.8249
610	103063.2804
611	102933.5086
612	102868.4558
613	102804.7648
614	102725.9954
615	102641.5344
616	102569.1087
617	102461.3136
618	102415.5932
619	102369.4403
620	102315.5101
621	102211.6339
622	102131.6131
623	102059.5993
624	102044.3075
625	101947.0138
626	101903.3273
627	101845.7175
628	101810.6931
629	101765.9311
630	101722.8704
631	101648.6056
632	101622.9192
633	101570.1303
634	101533.2938
635	101485.2971
636	101396.0525
637	101304.2752
638	101228.1926
639	101145.7366
640	101077.2869
641	101008.328
642	100968.9754
643	100928.4012
644	100861.5141
645	100798.1915
646	100769.1232
647	100693.7402
648	100632.8055
649	100579.4696
650	100546.0078
651	100487.2918
652	100396.3025
653	100310.5002
654	100268.6338
655	100205.5411
656	100152.5466
657	100086.6677
658	99987.05066
659	99953.31951
660	99934.78522
661	99898.85176
662	99809.173
663	99719.45239
664	99673.51268
665	99648.02376
666	99587.54839
667	99511.62098
668	99433.43762
669	99306.15544
670	99263.69746
671	99195.87066
672	99139.39265
673	99092.16831
674	98996.3127
675	98955.78377
676	98885.78425
677	98821.68501
678	98737.64695
679	98702.70036
680	98641.58213
681	98497.00446
682	98461.91019
683	98403.71729
684	98321.31193
685	98219.99248
686	98194.20019
687	98095.78312
688	98037.06651
689	98013.0232
690	97955.47854
691	97897.45936
692	97842.56057
693	97778.6786
694	97716.98897
695	97635.06989
696	97612.96434
697	97560.43367
698	97473.13178
699	97381.15348
700	97299.51003
701	97239.94457
702	97200.22987
703	97130.71175
704	97076.52222
705	97037.5274
706	96984.34891
707	96870.99608
708	96831.10074
709	96734.19757
710	96672.16897
711	96657.1434
712	96581.64187
713	96536.62354
714	96494.54491
715	96431.9124
716	96385.75852
717	96336.21268
718	96306.57841
719	96236.91668
720	96191.84
721	96125.53251
722	96059.22259
723	96030.61896
724	95964.5177
725	95921.67978
726	95860.89791
727	95788.09471
728	95694.24702
729	95673.9225
730	95642.24248
731	95563.69573
732	95518.91795
733	95486.31746
734	95442.66223
735	95395.49865
736	95347.28459
737	95293.65936
738	95178.43979
739	95106.29525
740	95035.52813
741	94951.79503
742	94899.70487
743	94854.35426
744	94836.2297
745	94744.48497
746	94689.23313
747	94619.04091
748	94549.88236
749	94512.19303
750	94465.00342
751	94398.40603
752	94343.30021
753	94305.32736
754	94262.29884
755	94204.40178
756	94166.54171
757	94079.13343
758	94008.87918
759	93972.63588
760	93906.77419
761	93821.53214
762	93770.15176
763	93699.5196
764	93662.91869
765	93606.48232
766	93559.34372
767	93476.86507
768	93441.07161
769	93384.16917
770	93341.81694
771	93278.3004
772	93255.70085
773	93198.90899
774	93103.88592
775	93040.55476
776	93010.52626
777	92966.37094
778	92911.09674
779	92862.42895
780	92828.07266
781	92781.00506
782	92655.9697
783	92595.46472
784	92500.84413
785	92441.52893
786	92415.51622
787	92265.88018
788	92225.07945
789	92171.72419
790	92106.44911
791	92031.01579
792	91965.96186
793	91919.49074
794	91867.97772
795	91832.20286
796	91762.18417
797	91693.83163
798	91652.24957
799	91572.26796
800	91528.6059
801	91473.63817
802	91418.4852
803	91397.36774
804	91354.43168
805	91291.86679
806	91233.53707
807	91161.36094
808	91124.64199
809	91068.533
810	90959.3682
811	90937.73437
812	90877.08904
813	90827.51717
814	90777.40841
815	90730.45044
816	90698.59695
817	90642.49001
818	90601.81444
819	90546.71457
820	90469.64011
821	90409.8434
822	90322.68565
823	90237.31007
824	90188.10782
825	90139.08931
826	90104.17595
827	90068.30608
828	90039.63973
829	89978.6935
830	89914.12111
831	89866.25941
832	89808.93904
833	89736.64848
834	89674.87877
835	89643.56186
836	89632.78994
837	89586.287
838	89544.82063
839	89509.09855
840	89467.87655
841	89440.72641
842	89415.60784
843	89390.24128
844	89338.06405
845	89293.77834
846	89253.64252
847	89230.78325
848	89163.12592
849	89134.34123
850	89095.95088
851	89047.27039
852	88999.09854
853	88911.32236
854	88831.82046
855	88756.44683
856	88694.57372
857	88633.09648
858	88589.49737
859	88564.35519
860	88512.68014
861	88422.33373
862	88376.02239
863	88338.60822
864	88264.44878
865	88236.32378
866	88146.55666
867	88119.03291
868	88054.60466
869	88013.1724
870	87956.0036
871	87907.02463
872	87900.67962
873	87853.97233
874	87803.89419
875	87776.31562
876	87735.53119
877	87693.96913
878	87652.04055
879	87588.44125
880	87547.7128
881	87471.22845
882	87388.94725
883	87327.0013
884	87271.17315
885	87231.41564
886	87197.16056
887	87116.30139
888	87070.9466
889	87023.79222
890	86979.20722
891	86924.27111
892	86904.4501
893	86886.76384
894	86839.96937
895	86793.78966
896	86762.75625
897	86699.02884
898	86644.08995
899	86636.96661
900	86607.28482
901	86528.75042
902	86477.64148
903	86429.95466
904	86331.94559
905	86282.37267
906	86219.12964
907	86136.67635
908	86103.79258
909	86042.65521
910	85987.41421
911	85906.48645
912	85851.21787
913	85791.22289
914	85737.17737
915	85659.24552
916	85616.06772
917	85591.89303
918	85533.12367
919	85476.18385
920	85418.28579
921	85372.29973
922	85283.46351
923	85254.13913
924	85190.52653
925	85158.35935
926	85100.14261
927	85052.60297
928	85012.57643
929	84967.36617
930	84928.07388
931	84901.76974
932	84861.05719
933	84765.68437
934	84745.32044
935	84687.79689
936	84663.86798
937	84615.36207
938	84552.17293
939	84423.15812
940	84391.17963
941	84359.07466
942	84280.00777
943	84262.4291
944	84235.25291
945	84178.40098
946	84150.47702
947	84108.63871
948	84049.31928
949	83963.55283
950	83882.6759
951	83831.60453
952	83795.73981
953	83740.38946
954	83669.75325
955	83592.3654
956	83577.51331
957	83542.80387
958	83494.61551
959	83454.77858
960	83436.20679
961	83393.57037
962	83340.69707
963	83317.52728
964	83281.70012
965	83239.82483
966	83188.82119
967	83115.59563
968	83071.94004
969	83023.6598
970	82993.65935
971	82938.33265
972	82898.29236
973	82862.16676
974	82807.93818
975	82760.98662
976	82721.37895
977	82682.90932
978	82650.25589
979	82628.02094
980	82600.47627
981	82535.67674
982	82504.87444
983	82487.36477
984	82439.35293
985	82404.46845
986	82387.10336
987	82322.43381
988	82250.60658
989	82197.88647
990	82102.78307
991	82057.5501
992	82017.98121
993	81916.96145
994	81898.39599
995	81835.68729
996	81773.39103
997	81713.45332
998	81651.60274
999	81632.64763
