date,windturbines_mw
2011-09-23,77798.0
2011-09-24,23884.0
2011-09-25,31031.0
2011-09-26,30532.0
2011-09-27,19341.0
2011-09-28,9899.0
2011-09-29,18108.0
2011-09-30,20532.0
2011-10-01,98837.0
2011-10-02,215779.0
2011-10-03,456334.0
2011-10-04,107643.0
2011-10-05,70157.0
2011-10-06,46239.0
2011-10-07,43690.0
2011-10-08,347020.0
2011-10-09,42298.0
2011-10-10,419064.0
2011-10-11,115129.0
2011-10-12,430096.0
2011-10-13,96489.0
2011-10-14,20460.0
2011-10-15,46147.0
2011-10-16,146681.0
2011-10-17,109552.0
2011-10-18,345339.0
2011-10-19,313961.0
2011-10-20,235524.0
2011-10-21,86909.0
2011-10-22,88913.0
2011-10-23,161037.0
2011-10-24,369166.0
2011-10-25,359493.0
2011-10-26,95154.0
2011-10-27,49896.0
2011-10-28,43536.0
2011-10-29,32998.0
2011-10-30,86009.0
2011-10-31,37809.0
2011-11-01,183018.0
2011-11-02,345563.0
2011-11-03,406069.0
2011-11-04,73158.0
2011-11-05,43014.0
2011-11-06,43269.0
2011-11-07,33161.0
2011-11-08,340607.0
2011-11-09,132488.0
2011-11-10,431937.0
2011-11-11,249434.0
2011-11-12,245100.0
2011-11-13,24309.0
2011-11-14,12289.0
2011-11-15,9412.0
2011-11-16,40030.0
2011-11-17,41832.0
2011-11-18,18596.0
2011-11-19,15404.0
2011-11-20,22346.0
2011-11-21,59181.0
2011-11-22,62595.0
2011-11-23,28371.0
2011-11-24,107765.0
2011-11-25,318328.0
2011-11-26,518460.0
2011-11-27,722989.0
2011-11-28,256734.0
2011-11-29,241505.0
2011-11-30,275372.0
2011-12-01,362239.0
2011-12-02,141579.0
2011-12-03,123433.0
2011-12-04,572693.0
2011-12-05,51744.0
2011-12-06,15330.0
2011-12-07,44776.0
2011-12-08,135664.0
2011-12-09,302299.0
2011-12-10,227115.0
2011-12-11,137728.0
2011-12-12,344012.0
2011-12-13,594501.0
2011-12-14,459749.0
2011-12-15,418149.0
2011-12-16,585366.0
2011-12-17,673524.0
2011-12-18,482500.0
2011-12-19,316000.0
2011-12-20,247748.0
